Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2014-01-03,51346.22,51878.73,51168.36,51497.81,167807718
2014-01-10,51213.21,51213.21,49320.57,49796.5,456031419
2014-01-17,49943.58,51526.78,49927.54,50925.12,511005817
2014-01-24,50879.23,52074.67,50593.45,50593.45,644449491
2014-01-31,50188.76,50998.76,49577.02,50831.61,584264890
2014-02-07,50934.2,52201.64,50494.52,52137.9,530690348
2014-02-14,52151.22,53470.08,51947.42,53397.03,502115875
2014-02-21,53472.46,53666.69,52833.59,53400.11,598764659
2014-02-28,53435.92,54075.89,52643.03,53811.3,559070947
2014-03-07,51739.27,52697.98,51005.81,51954.46,876968499
2014-03-14,51651.2,51719.75,48765.47,49520.84,616143688
2014-03-21,49644.42,51048.02,49644.42,50555.93,473784763
2014-03-28,50782.91,51998.97,50325.36,51684.41,280939605
2014-04-04,52056,52871.2,52027.18,52660.68,243154959
2014-04-11,52296.7,52809.47,52044.98,52389.75,259613930
2014-04-18,52093.58,52094.01,50913.63,51510.98,151377304
2014-04-25,51538.92,52233.15,51397.45,51497.7,161227517
2014-05-02,51486.41,52036.79,51481.91,51782.38,134502925
2014-05-09,51737.55,51774.35,50258.57,50451.79,199170543
2014-05-16,50468.1,51448.51,50334.32,50858.58,231859237
2014-05-23,50975.91,52600.94,50842.13,52413.38,225929133
2014-05-30,52631.62,52754.81,52066.97,52066.97,386979091
2014-06-06,52193.82,53233.18,52031.15,53233.18,231086716
2014-06-13,53334.47,53436.07,52663.32,52759.01,176371580
2014-06-20,52340.11,53127.28,52197.93,52923.26,171233709
2014-06-27,52974.05,53156.01,51649.04,51713.44,191714669
2014-07-04,51909.99,51980.27,50673.19,50995.56,211507317
2014-07-11,51046.61,51457.49,50178.48,51085.89,163446295
2014-07-18,51287.39,51632.74,51065.61,51315.91,163656164
2014-07-25,51367.4,51711.21,51014.31,51608.79,144560561
2014-08-01,51618.75,51787.37,49625.7,50390.94,194128994
2014-08-08,50595.24,51229.53,49321.83,49593.68,180890831
2014-08-15,49944.53,51512.57,49896.34,51512.57,132904980
2014-08-22,51523.08,52450.2,51491.48,52143.1,185226962
2014-08-29,52309.88,53008,51639.48,51868.77,178120485
2014-09-05,52068.19,54518.93,52068.19,54412.52,232975299
2014-09-12,54492.16,54735.23,54020.24,54021.81,259974956
2014-09-19,53945.33,55687.59,53942.49,55636.77,286864722
2014-09-26,55421.61,55586.22,54121.83,54574.21,232647993
2014-10-03,54623.21,54981.88,53498.77,53754.63,210259560
2014-10-10,54018.54,54240.97,52697.16,52734.24,194775259
2014-10-17,52706.19,53065.61,51849.26,52662.9,280947221
2014-10-24,52862.05,53600.16,52336.68,53320.13,207521518
2014-10-31,53603.66,54029.73,53211.82,53949.58,177575594
2014-11-07,53922.18,54145.86,53234.87,53254.04,168310499
2014-11-14,53325.05,53329.43,52663.34,53176.98,143360932
2014-11-21,53085.42,53428.98,52775.27,53215.87,192998889
2014-11-28,53324.85,53569.71,52919.32,53247.07,189972685
2014-12-05,53050.26,54030.53,52962.86,53652.58,167637550
2014-12-12,53739.23,53821.25,52265.24,52265.24,192953999
2014-12-19,52232.99,52377.41,50182.53,51297.12,410171866
2014-12-26,51281.28,51670.76,51230.19,51511.68,78024661
2015-01-02,51602.65,51649.72,51013.74,51378,88237947
2015-01-09,51309.21,52393.37,50516.71,52065.88,161196219
2015-01-16,52057.14,52585.44,49943.11,50300.33,273420719
